birth,death
4.733059757245892563e+00,4.943519688237654641e+00
4.624239239539208235e+00,4.733059757245892563e+00
4.512795411197783935e+00,4.943519688237654641e+00
4.512795411197783935e+00,4.943519688237654641e+00
4.398528879314239859e+00,4.512795411197783935e+00
4.160591792020530200e+00,5.045458653993679654e+00
4.160591792020530200e+00,4.281213634122337020e+00
3.638331977041546761e+00,3.775675528475591847e+00
3.346778650109725195e+00,3.638331977041546761e+00
3.346778650109725195e+00,3.638331977041546761e+00
3.346778650109725195e+00,3.775675528475591847e+00
3.191028237365487019e+00,3.346778650109725195e+00
3.027275192396207792e+00,3.346778650109725195e+00
3.027275192396207792e+00,4.733059757245892563e+00
3.027275192396207792e+00,3.191028237365487019e+00
3.027275192396207792e+00,4.943519688237654641e+00
0.000000000000000000e+00,5.045458653993679654e+00
