t_mm,sub-01,sub-02,sub-03,sub-04,sub-05,sub-06,sub-07,sub-08,sub-09,sub-10,sub-11,sub-12,sub-13,sub-14,sub-15,sub-16
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
9.695359714832658959e-02,9.695359714832658959e-02,9.695359714832658959e-02,9.695359714832658959e-02,9.695359714832658959e-02,9.695359714832658959e-02,9.695359714832658959e-02,9.695359714832658959e-02,9.695359714832658959e-02,9.695359714832658959e-02,9.695359714832658959e-02,9.695359714832658959e-02,9.695359714832658959e-02,9.695359714832658959e-02,9.695359714832658959e-02,9.695359714832658959e-02,9.695359714832658959e-02
1.939071942966531792e-01,1.939071942966531792e-01,1.939071942966531792e-01,1.939071942966531792e-01,1.939071942966531792e-01,1.939071942966531792e-01,1.939071942966531792e-01,1.939071942966531792e-01,1.939071942966531792e-01,1.939071942966531792e-01,1.939071942966531792e-01,1.939071942966531792e-01,1.939071942966531792e-01,1.939071942966531792e-01,1.939071942966531792e-01,1.939071942966531792e-01,1.939071942966531792e-01
2.908607914449797827e-01,2.908607914449797827e-01,2.908607914449797827e-01,2.908607914449797827e-01,2.908607914449797827e-01,2.908607914449797827e-01,2.908607914449797827e-01,2.908607914449797827e-01,2.908607914449797827e-01,2.908607914449797827e-01,2.908607914449797827e-01,2.908607914449797827e-01,2.908607914449797827e-01,2.908607914449797827e-01,2.908607914449797827e-01,2.908607914449797827e-01,2.908607914449797827e-01
3.878143885933063584e-01,3.878143885933063584e-01,3.878143885933063584e-01,3.878143885933063584e-01,3.878143885933063584e-01,3.878143885933063584e-01,3.878143885933063584e-01,3.878143885933063584e-01,3.878143885933063584e-01,3.878143885933063584e-01,3.878143885933063584e-01,3.878143885933063584e-01,3.878143885933063584e-01,3.878143885933063584e-01,3.878143885933063584e-01,3.878143885933063584e-01,3.878143885933063584e-01
4.847679857416329341e-01,4.847679857416329341e-01,4.847679857416329341e-01,4.847679857416329341e-01,4.847679857416329341e-01,4.847679857416329341e-01,4.847679857416329341e-01,4.847679857416329341e-01,4.847679857416329341e-01,4.847679857416329341e-01,4.847679857416329341e-01,4.847679857416329341e-01,4.847679857416329341e-01,4.847679857416329341e-01,4.847679857416329341e-01,4.847679857416329341e-01,4.847679857416329341e-01
5.817215828899595653e-01,5.817215828899595653e-01,5.817215828899595653e-01,5.817215828899595653e-01,5.817215828899595653e-01,5.817215828899595653e-01,5.817215828899595653e-01,5.817215828899595653e-01,5.817215828899595653e-01,5.817215828899595653e-01,5.817215828899595653e-01,5.817215828899595653e-01,5.817215828899595653e-01,5.817215828899595653e-01,5.817215828899595653e-01,5.817215828899595653e-01,5.817215828899595653e-01
6.786751800382860855e-01,6.786751800382860855e-01,6.786751800382860855e-01,6.786751800382860855e-01,6.786751800382860855e-01,6.786751800382860855e-01,6.786751800382860855e-01,6.786751800382860855e-01,6.786751800382860855e-01,6.786751800382860855e-01,6.786751800382860855e-01,6.786751800382860855e-01,6.786751800382860855e-01,6.786751800382860855e-01,6.786751800382860855e-01,6.786751800382860855e-01,6.786751800382860855e-01
7.756287771866127168e-01,7.756287771866127168e-01,7.756287771866127168e-01,7.756287771866127168e-01,7.756287771866127168e-01,7.756287771866127168e-01,7.756287771866127168e-01,7.756287771866127168e-01,7.756287771866127168e-01,7.756287771866127168e-01,7.756287771866127168e-01,7.756287771866127168e-01,7.756287771866127168e-01,7.756287771866127168e-01,7.756287771866127168e-01,7.756287771866127168e-01,7.756287771866127168e-01
8.725823743349393480e-01,8.725823743349393480e-01,8.725823743349393480e-01,8.725823743349393480e-01,8.725823743349393480e-01,8.725823743349393480e-01,8.725823743349393480e-01,8.725823743349393480e-01,8.725823743349393480e-01,8.725823743349393480e-01,8.725823743349393480e-01,8.725823743349393480e-01,8.725823743349393480e-01,8.725823743349393480e-01,8.725823743349393480e-01,8.725823743349393480e-01,8.725823743349393480e-01
