t_mm,sub-01,sub-02,sub-03,sub-04,sub-05,sub-06,sub-07,sub-08,sub-09,sub-10,sub-11,sub-12,sub-13,sub-14,sub-15,sub-16
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
8.062257748298548576e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.062257748298548576e-02,0.000000000000000000e+00,8.062257748298548576e-02,0.000000000000000000e+00,8.062257748298548576e-02,8.062257748298548576e-02,0.000000000000000000e+00,0.000000000000000000e+00,8.062257748298548576e-02,0.000000000000000000e+00,8.062257748298548576e-02,0.000000000000000000e+00,0.000000000000000000e+00
1.612451549659709715e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.612451549659709715e-01,0.000000000000000000e+00,1.612451549659709715e-01,0.000000000000000000e+00,1.612451549659709715e-01,1.612451549659709715e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.612451549659709715e-01,0.000000000000000000e+00,1.612451549659709715e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.418677324489564573e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.418677324489564573e-01,0.000000000000000000e+00,2.418677324489564573e-01,0.000000000000000000e+00,2.418677324489564573e-01,2.418677324489564573e-01,0.000000000000000000e+00,0.000000000000000000e+00,2.418677324489564573e-01,0.000000000000000000e+00,2.418677324489564573e-01,0.000000000000000000e+00,0.000000000000000000e+00
3.224903099319419431e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.224903099319419431e-01,0.000000000000000000e+00,3.224903099319419431e-01,0.000000000000000000e+00,3.224903099319419431e-01,3.224903099319419431e-01,0.000000000000000000e+00,0.000000000000000000e+00,3.224903099319419431e-01,0.000000000000000000e+00,3.224903099319419431e-01,0.000000000000000000e+00,0.000000000000000000e+00
4.031128874149274566e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.031128874149274566e-01,0.000000000000000000e+00,4.031128874149274566e-01,0.000000000000000000e+00,4.031128874149274566e-01,4.031128874149274566e-01,0.000000000000000000e+00,0.000000000000000000e+00,4.031128874149274566e-01,0.000000000000000000e+00,4.031128874149274566e-01,0.000000000000000000e+00,0.000000000000000000e+00
4.837354648979129146e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.837354648979129146e-01,0.000000000000000000e+00,4.837354648979129146e-01,0.000000000000000000e+00,4.837354648979129146e-01,4.837354648979129146e-01,0.000000000000000000e+00,0.000000000000000000e+00,4.837354648979129146e-01,0.000000000000000000e+00,4.837354648979129146e-01,0.000000000000000000e+00,0.000000000000000000e+00
5.643580423808983726e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.356419576191016274e-01,0.000000000000000000e+00,4.356419576191016274e-01,0.000000000000000000e+00,4.356419576191016274e-01,4.356419576191016274e-01,0.000000000000000000e+00,0.000000000000000000e+00,4.356419576191016274e-01,0.000000000000000000e+00,4.356419576191016274e-01,0.000000000000000000e+00,0.000000000000000000e+00
6.449806198638838861e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.550193801361161139e-01,0.000000000000000000e+00,3.550193801361161139e-01,0.000000000000000000e+00,3.550193801361161139e-01,3.550193801361161139e-01,0.000000000000000000e+00,0.000000000000000000e+00,3.550193801361161139e-01,0.000000000000000000e+00,3.550193801361161139e-01,0.000000000000000000e+00,0.000000000000000000e+00
7.256031973468693996e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.743968026531306004e-01,0.000000000000000000e+00,2.743968026531306004e-01,0.000000000000000000e+00,2.743968026531306004e-01,2.743968026531306004e-01,0.000000000000000000e+00,0.000000000000000000e+00,2.743968026531306004e-01,0.000000000000000000e+00,2.743968026531306004e-01,0.000000000000000000e+00,0.000000000000000000e+00
8.062257748298549132e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.937742251701450868e-01,0.000000000000000000e+00,1.937742251701450868e-01,0.000000000000000000e+00,1.937742251701450868e-01,1.937742251701450868e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.937742251701450868e-01,0.000000000000000000e+00,1.937742251701450868e-01,0.000000000000000000e+00,0.000000000000000000e+00
8.868483523128403156e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.131516476871596844e-01,0.000000000000000000e+00,1.131516476871596844e-01,0.000000000000000000e+00,1.131516476871596844e-01,1.131516476871596844e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.131516476871596844e-01,0.000000000000000000e+00,1.131516476871596844e-01,0.000000000000000000e+00,0.000000000000000000e+00
9.674709297958258292e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.252907020417417083e-02,0.000000000000000000e+00,3.252907020417417083e-02,0.000000000000000000e+00,3.252907020417417083e-02,3.252907020417417083e-02,0.000000000000000000e+00,0.000000000000000000e+00,3.252907020417417083e-02,0.000000000000000000e+00,3.252907020417417083e-02,0.000000000000000000e+00,0.000000000000000000e+00
