t_mm,sub-01,sub-02,sub-03,sub-04,sub-05,sub-06,sub-07,sub-08,sub-09,sub-10,sub-11,sub-12,sub-13,sub-14,sub-15,sub-16
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
9.154120753871360094e-02,9.154120753871360094e-02,9.154120753871360094e-02,9.154120753871360094e-02,9.154120753871360094e-02,9.154120753871360094e-02,9.154120753871360094e-02,9.154120753871360094e-02,9.154120753871360094e-02,9.154120753871360094e-02,9.154120753871360094e-02,9.154120753871360094e-02,9.154120753871360094e-02,9.154120753871360094e-02,9.154120753871360094e-02,9.154120753871360094e-02,9.154120753871360094e-02
1.830824150774272019e-01,1.830824150774272019e-01,1.830824150774272019e-01,1.830824150774272019e-01,1.830824150774272019e-01,1.830824150774272019e-01,1.830824150774272019e-01,1.830824150774272019e-01,1.830824150774272019e-01,1.830824150774272019e-01,1.830824150774272019e-01,1.830824150774272019e-01,1.830824150774272019e-01,1.830824150774272019e-01,1.830824150774272019e-01,1.830824150774272019e-01,1.830824150774272019e-01
2.746236226161408167e-01,2.746236226161408167e-01,2.746236226161408167e-01,2.746236226161408167e-01,2.746236226161408167e-01,2.746236226161408167e-01,2.746236226161408167e-01,2.746236226161408167e-01,2.746236226161408167e-01,2.746236226161408167e-01,2.746236226161408167e-01,2.746236226161408167e-01,2.746236226161408167e-01,2.746236226161408167e-01,2.746236226161408167e-01,2.746236226161408167e-01,2.746236226161408167e-01
3.661648301548544038e-01,3.661648301548544038e-01,3.661648301548544038e-01,3.661648301548544038e-01,3.661648301548544038e-01,3.661648301548544038e-01,3.661648301548544038e-01,3.661648301548544038e-01,3.661648301548544038e-01,3.661648301548544038e-01,3.661648301548544038e-01,3.661648301548544038e-01,3.661648301548544038e-01,3.661648301548544038e-01,3.661648301548544038e-01,3.661648301548544038e-01,3.661648301548544038e-01
4.577060376935679908e-01,4.577060376935679908e-01,4.577060376935679908e-01,4.577060376935679908e-01,4.577060376935679908e-01,4.577060376935679908e-01,4.577060376935679908e-01,4.577060376935679908e-01,4.577060376935679908e-01,4.577060376935679908e-01,4.577060376935679908e-01,4.577060376935679908e-01,4.577060376935679908e-01,4.577060376935679908e-01,4.577060376935679908e-01,4.577060376935679908e-01,4.577060376935679908e-01
5.492472452322816334e-01,5.492472452322816334e-01,5.492472452322816334e-01,5.492472452322816334e-01,5.492472452322816334e-01,5.492472452322816334e-01,5.492472452322816334e-01,5.492472452322816334e-01,5.492472452322816334e-01,5.492472452322816334e-01,5.492472452322816334e-01,5.492472452322816334e-01,5.492472452322816334e-01,5.492472452322816334e-01,5.492472452322816334e-01,5.492472452322816334e-01,5.492472452322816334e-01
6.407884527709951650e-01,6.407884527709951650e-01,6.407884527709951650e-01,6.407884527709951650e-01,6.407884527709951650e-01,6.407884527709951650e-01,6.407884527709951650e-01,6.407884527709951650e-01,6.407884527709951650e-01,6.407884527709951650e-01,6.407884527709951650e-01,6.407884527709951650e-01,6.407884527709951650e-01,6.407884527709951650e-01,6.407884527709951650e-01,6.407884527709951650e-01,6.407884527709951650e-01
7.323296603097088076e-01,7.323296603097088076e-01,7.323296603097088076e-01,7.323296603097088076e-01,7.323296603097088076e-01,7.323296603097088076e-01,7.323296603097088076e-01,7.323296603097088076e-01,7.323296603097088076e-01,7.323296603097088076e-01,7.323296603097088076e-01,7.323296603097088076e-01,7.323296603097088076e-01,7.323296603097088076e-01,7.323296603097088076e-01,7.323296603097088076e-01,7.323296603097088076e-01
8.238708678484224501e-01,8.238708678484224501e-01,8.238708678484224501e-01,8.238708678484224501e-01,8.238708678484224501e-01,8.238708678484224501e-01,8.238708678484224501e-01,8.238708678484224501e-01,8.238708678484224501e-01,8.238708678484224501e-01,8.238708678484224501e-01,8.238708678484224501e-01,8.238708678484224501e-01,8.238708678484224501e-01,8.238708678484224501e-01,8.238708678484224501e-01,8.238708678484224501e-01
9.154120753871359817e-01,9.154120753871359817e-01,9.154120753871359817e-01,9.154120753871359817e-01,9.154120753871359817e-01,9.154120753871359817e-01,9.154120753871359817e-01,9.154120753871359817e-01,9.154120753871359817e-01,9.154120753871359817e-01,9.154120753871359817e-01,9.154120753871359817e-01,9.154120753871359817e-01,9.154120753871359817e-01,9.154120753871359817e-01,9.154120753871359817e-01,9.154120753871359817e-01
1.006953282925849624e+00,1.006953282925849624e+00,1.006953282925849624e+00,1.006953282925849624e+00,1.006953282925849624e+00,1.006953282925849624e+00,1.006953282925849624e+00,1.006953282925849624e+00,1.006953282925849624e+00,1.006953282925849624e+00,1.006953282925849624e+00,1.006953282925849624e+00,1.006953282925849624e+00,1.006953282925849624e+00,1.006953282925849624e+00,1.006953282925849624e+00,1.006953282925849624e+00
1.098494490464563267e+00,1.098494490464563267e+00,1.098494490464563267e+00,1.098494490464563267e+00,1.098494490464563267e+00,1.098494490464563267e+00,1.098494490464563267e+00,1.098494490464563267e+00,1.098494490464563267e+00,1.098494490464563267e+00,1.098494490464563267e+00,1.098494490464563267e+00,1.098494490464563267e+00,1.098494490464563267e+00,1.098494490464563267e+00,1.098494490464563267e+00,1.098494490464563267e+00
1.190035698003276909e+00,1.190035698003276909e+00,1.190035698003276909e+00,1.190035698003276909e+00,1.190035698003276909e+00,1.190035698003276909e+00,1.190035698003276909e+00,1.190035698003276909e+00,1.190035698003276909e+00,1.190035698003276909e+00,1.190035698003276909e+00,1.190035698003276909e+00,1.190035698003276909e+00,1.190035698003276909e+00,1.190035698003276909e+00,1.190035698003276909e+00,1.190035698003276909e+00
1.281576905541990330e+00,1.281576905541990330e+00,1.281576905541990330e+00,1.281576905541990330e+00,1.281576905541990330e+00,1.281576905541990330e+00,1.281576905541990330e+00,1.281576905541990330e+00,1.281576905541990330e+00,1.281576905541990330e+00,1.281576905541990330e+00,1.281576905541990330e+00,1.281576905541990330e+00,1.281576905541990330e+00,1.281576905541990330e+00,1.281576905541990330e+00,1.281576905541990330e+00
1.373118113080703973e+00,1.373118113080703973e+00,1.373118113080703973e+00,1.373118113080703973e+00,1.373118113080703973e+00,1.373118113080703973e+00,1.373118113080703973e+00,1.373118113080703973e+00,1.373118113080703973e+00,1.373118113080703973e+00,1.373118113080703973e+00,1.373118113080703973e+00,1.373118113080703973e+00,1.373118113080703973e+00,1.373118113080703973e+00,1.373118113080703973e+00,1.373118113080703973e+00
